Country,GeoCorrd,GeoCorrd
ANDORRA,1.32,42.31
AFGHANISTAN,69.11,34.28
ANTIGUA AND BARBUDA,-61.48,17.2
ALBANIA,19.49,41.18
ARMENIA,44.31,40.1
NETHERLANDS ANTILLES,-69,12.05
ANGOLA,13.15,-8.5
ARGENTINA,-60,-36.3
AUSTRIA,16.22,48.12
AUSTRALIA,149.08,-35.15
ARUBA,-70.02,12.32
AZERBAIJAN,49.56,40.29
BOSNIA AND HERZEGOVINA,18.26,43.52
BARBADOS,-59.3,13.05
BANGLADESH,90.26,23.43
BELGIUM,4.21,50.51
BURKINA FASO,-1.3,12.15
BULGARIA,23.2,42.45
BAHRAIN,50.3,26.1
BENIN,2.42,6.23
BRUNEI DARUSSALAM,115,4.52
BOLIVIA (PLURINATIONAL STATE OF),-68.1,-16.2
BRAZIL,-47.55,-25.47
BAHAMAS,-77.2,25.05
BHUTAN,89.45,27.31
BOTSWANA,25.57,-24.45
BELARUS,27.3,53.52
BELIZE,-88.3,17.18
CANADA,-105.42,56.43
"CONGO, DEMOCRATIC REPUBLIC OF THE",15.12,-4.09
CENTRAL AFRICAN REPUBLIC,18.35,4.23
CONGO,15.12,-4.09
SWITZERLAND,7.28,46.57
CHILE,-70.4,-33.24
CAMEROON,11.35,3.5
CHINA,116.2,39.55
COLOMBIA,-74,4.34
COSTA RICA,-84.02,9.55
CUBA,-82.22,23.08
CAPE VERDE,-23.34,15.02
CYPRUS,33.25,35.1
CZECH REPUBLIC,14.22,50.05
GERMANY,13.25,52.3
DJIBOUTI,42.2,11.08
DENMARK,12.34,55.41
DOMINICA,-61.24,15.2
DOMINICAN REPUBLIC,69.59,18.3
ALGERIA,3.08,36.42
ECUADOR,-78.35,-0.15
ESTONIA,24.48,59.22
EGYPT,31.14,30.01
ERITREA,38.55,15.19
SPAIN,-3.45,40.25
ETHIOPIA,38.42,9.02
FINLAND,25.03,60.15
FIJI,178.3,-18.06
FAROE ISLANDS,-6.56,62.05
FRANCE,2.2,48.5
GABON,9.26,0.25
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,-0.05,51.36
GEORGIA,44.5,41.43
FRENCH GUIANA,-52.18,5.05
GUERNSEY,-2.33,49.26
GHANA,-0.06,5.35
GREENLAND,-51.35,64.1
GAMBIA,-16.4,13.28
GUINEA,-13.49,9.29
GUADELOUPE,-61.44,16
EQUATORIAL GUINEA,8.5,3.45
GREECE,23.46,37.58
GUATEMALA,-90.22,14.4
GUYANA,-58.12,6.5
HONDURAS,-87.14,14.05
CROATIA,15.58,45.5
HAITI,72.2,18.4
HUNGARY,19.05,47.29
INDONESIA,106.49,-6.09
IRELAND,-6.15,53.21
ISRAEL,35.12,31.47
INDIA,77.13,28.37
IRAQ,44.3,33.2
"IRAN, ISLAMIC REPUBLIC OF",51.3,35.44
ICELAND,-21.57,64.1
ITALY,12.29,41.54
JAMAICA,-76.5,18
JORDAN,35.52,31.57
KENYA,36.48,-1.17
KYRGYZSTAN,74.46,42.54
KIRIBATI,173,1.3
COMOROS,43.16,-11.4
SAINT KITTS AND NEVIS,-62.43,17.17
KUWAIT,48,29.3
CAYMAN ISLANDS,-81.24,19.2
KAZAKHSTAN,71.3,51.1
LAO PEOPLE'S DEMOCRATIC REPUBLIC,102.36,17.58
LEBANON,35.31,33.53
SAINT LUCIA,-60.58,14.02
LIECHTENSTEIN,9.31,47.08
LIBERIA,-10.47,6.18
LITHUANIA  ,25.19,54.38
LUXEMBOURG  ,6.09,49.37
LATVIA  ,24.08,56.53
REPUBLIC OF MOLDOVA,28.5,47.02
MADAGASCAR  ,47.31,-18.55
MYANMAR  ,96.2,16.45
MACAU  ,113.33,22.12
NORTHERN MARIANA ISLANDS,145.45,15.12
MARTINIQUE,-61.02,14.36
MAURITANIA,57.3,-20.1
MALTA  ,14.31,35.54
MALDIVES  ,73.28,4
MALAWI  ,33.48,-14
MEXICO  ,-99.1,19.2
MALAYSIA  ,101.41,3.09
MOZAMBIQUE  ,32.32,-25.58
NAMIBIA  ,17.04,-22.35
NEW CALEDONIA ,166.3,-22.17
NIGER  ,2.06,13.27
NIGERIA  ,7.32,9.05
NICARAGUA    ,-86.2,12.06
NETHERLANDS    ,4.54,52.23
NORWAY    ,10.45,59.55
NEPAL    ,85.2,27.45
NEW ZEALAND   ,174.46,-41.19
OMAN    ,58.36,23.37
PANAMA    ,-79.25,9
PERU    ,-77,-12
FRENCH POLYNESIA   ,-149.34,-17.32
PAPUA NEW GUINEA  ,147.08,-9.24
PHILIPPINES    ,121.03,14.4
PAKISTAN    ,73.1,33.4
POLAND    ,21,52.13
PUERTO RICO   ,-66.07,18.28
PORTUGAL    ,-9.1,38.42
PALAU    ,134.28,7.2
PARAGUAY    ,-57.3,-25.1
QATAR    ,51.35,25.15
ROMANIA    ,26.1,44.27
RUSSIAN FEDERATION   ,37.35,55.45
SAUDI ARABIA   ,46.42,24.41
SOLOMON ISLANDS   ,159.57,-9.27
SUDAN    ,32.35,15.31
SWEDEN    ,18.03,59.2
SLOVENIA    ,14.33,46.04
SLOVAKIA    ,17.07,48.1
SAN MARINO   ,12.3,43.55
SENEGAL    ,-17.29,14.34
SURINAME    ,-55.1,5.5
EL SALVADOR   ,-89.1,13.4
SYRIAN ARAB REPUBLIC  ,36.18,33.3
SWAZILAND    ,7.28,46.57
CHAD    ,14.59,12.1
TOGO    ,1.2,6.09
THAILAND    ,100.35,13.45
TAJIKISTAN    ,68.48,38.33
TURKMENISTAN    ,57.5,38
TUNISIA    ,10.11,36.5
TURKEY    ,32.54,39.57
UKRAINE    ,30.28,50.3
UGANDA    ,32.3,0.2
UNITED STATES OF AMERICA ,-77.02,39.91
URUGUAY    ,-56.11,-34.5
UZBEKISTAN    ,69.1,41.2
SAINT VINCENT AND THE GRENADINES,-61.1,13.1
"VENEZUELA, BOLIVARIAN REPUBLIC OF ",-66.55,10.3
VIET NAM   ,105.55,21.05
MAYOTTE    ,45.14,-12.48
SOUTH AFRICA   ,28.12,-25.44
ZAMBIA    ,28.16,-15.28
ZIMBABWE    ,31.02,-17.43
BURUNDI,29.18,-3.16
FALKLAND ISLANDS (MALVINAS）,-59.51,-51.4
"MICRONESIA, FEDERATED STATES OF",158.09,6.55
GUINEA-BISSAU,-15.45,11.45
LESOTHO,27.3,29.18
SIERRA LEONE   ,-13.17,8.3
SAO TOME AND PRINCIPE ,6.39,0.1
TONGA    ,-174,-21.1
VANUATU    ,168.18,-17.45