Country,Country,Amount
CANADA,UNITED STATES OF AMERICA ,910
AUSTRALIA,UNITED STATES OF AMERICA ,425
BRAZIL,GERMANY,291
ARGENTINA,UNITED STATES OF AMERICA ,130
CANADA,FRANCE,125
BELGIUM,SWITZERLAND,113
AUSTRALIA,GERMANY,110
BELGIUM,UNITED STATES OF AMERICA ,106
CANADA,CHINA,92
CANADA,GERMANY,87
AUSTRALIA,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,79
CANADA,NETHERLANDS    ,73
AUSTRALIA,FRANCE,72
CANADA,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,72
AUSTRALIA,DENMARK,64
BRAZIL,UNITED STATES OF AMERICA ,63
AUSTRALIA,NEW ZEALAND   ,60
CANADA,NORWAY    ,53
AUSTRIA,SWITZERLAND,52
CANADA,AUSTRIA,51
AUSTRALIA,ARGENTINA,50
AUSTRALIA,ITALY,48
AUSTRALIA,SAN MARINO   ,48
BELGIUM,QATAR    ,44
CANADA,ITALY,44
BAHAMAS,UNITED STATES OF AMERICA ,40
CANADA,BELGIUM,40
CANADA,DENMARK,39
CANADA,NEW ZEALAND   ,39
AUSTRALIA,AUSTRIA,37
CANADA,AUSTRALIA,36
CANADA,SWITZERLAND,36
AUSTRALIA,NETHERLANDS    ,35
BELGIUM,ISRAEL,35
AUSTRIA,UNITED STATES OF AMERICA ,32
BELGIUM,SOUTH AFRICA   ,32
AUSTRALIA,CZECH REPUBLIC,31
CANADA,SWEDEN    ,30
AUSTRALIA,CHINA,29
BELGIUM,THAILAND    ,29
CANADA,SPAIN,29
CANADA,RUSSIAN FEDERATION   ,28
BELGIUM,BAHRAIN,25
AUSTRALIA,SPAIN,24
CANADA,POLAND    ,24
AUSTRALIA,BELGIUM,23
BENIN,UNITED STATES OF AMERICA ,23
BELGIUM,NEPAL    ,22
CANADA,MEXICO  ,22
BELIZE,UNITED STATES OF AMERICA ,21
CANADA,THAILAND    ,21
CANADA,CZECH REPUBLIC,20
BELGIUM,SENEGAL    ,19
BELGIUM,INDONESIA,18
BELGIUM,KUWAIT,18
BELGIUM,PHILIPPINES    ,18
ARGENTINA,CHINA,17
ARGENTINA,ITALY,17
AUSTRALIA,MALAYSIA  ,17
BELGIUM,"CONGO, DEMOCRATIC REPUBLIC OF THE",17
CANADA,FINLAND,17
BELGIUM,CANADA,16
ARGENTINA,GERMANY,15
ARGENTINA,KAZAKHSTAN,15
BARBADOS,UNITED STATES OF AMERICA ,15
BELGIUM,BANGLADESH,15
BELGIUM,CHINA,15
BELGIUM,MACAU  ,15
ARGENTINA,SPAIN,14
AUSTRIA,QATAR    ,14
BRAZIL,PORTUGAL    ,14
CANADA,GREECE,14
CANADA,HUNGARY,14
"CONGO, DEMOCRATIC REPUBLIC OF THE",UNITED STATES OF AMERICA ,14
AUSTRIA,CANADA,13
BELGIUM,BRAZIL,12
BAHRAIN,QATAR    ,12
BELARUS,UKRAINE    ,12
BELARUS,UNITED STATES OF AMERICA ,12
CANADA,SOUTH AFRICA   ,12
BELGIUM,JORDAN,11
BENIN,GHANA,11
BOLIVIA (PLURINATIONAL STATE OF),UNITED STATES OF AMERICA ,11
"CONGO, DEMOCRATIC REPUBLIC OF THE",GERMANY,11
AUSTRIA,TURKEY    ,10
BELGIUM,EGYPT,10
BELARUS,RUSSIAN FEDERATION   ,10
CANADA,LITHUANIA  ,10
CANADA,PHILIPPINES    ,10
ARGENTINA,CHILE,9
AUSTRIA,RUSSIAN FEDERATION   ,9
BELGIUM,KYRGYZSTAN,8
BELGIUM,NORWAY    ,8
BELGIUM,VIET NAM   ,8
BULGARIA,UNITED STATES OF AMERICA ,8
BRAZIL,FRANCE,8
CANADA,SLOVAKIA    ,8
CANADA,TURKEY    ,8
ANTIGUA AND BARBUDA,UNITED STATES OF AMERICA ,7
ARGENTINA,AUSTRIA,7
ARGENTINA,BRAZIL,7
AUSTRIA,AUSTRALIA,7
BELGIUM,NETHERLANDS ANTILLES,7
BELGIUM,CHILE,7
CANADA,BRAZIL,7
AUSTRIA,MALAYSIA  ,6
AUSTRALIA,SWEDEN    ,6
BELGIUM,MALDIVES  ,6
BENIN,CANADA,6
BENIN,PHILIPPINES    ,6
BENIN,THAILAND    ,6
BOLIVIA (PLURINATIONAL STATE OF),ITALY,6
BRAZIL,ITALY,6
BRAZIL,TURKEY    ,6
BELARUS,KAZAKHSTAN,6
CANADA,ARGENTINA,6
CANADA,LUXEMBOURG  ,6
CANADA,SAUDI ARABIA   ,6
ARGENTINA,MEXICO  ,5
AUSTRIA,ISRAEL,5
AUSTRIA,PHILIPPINES    ,5
AUSTRIA,UKRAINE    ,5
BARBADOS,FRANCE,5
BELGIUM,NEW CALEDONIA ,5
BENIN,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,5
BENIN,TOGO    ,5
CANADA,ISRAEL,5
CANADA,MACAU  ,5
CANADA,PORTUGAL    ,5
"CONGO, DEMOCRATIC REPUBLIC OF THE",CHINA,5
"CONGO, DEMOCRATIC REPUBLIC OF THE",THAILAND    ,5
CENTRAL AFRICAN REPUBLIC,UNITED STATES OF AMERICA ,5
ALBANIA,GERMANY,4
ARGENTINA,PERU    ,4
ARGENTINA,RUSSIAN FEDERATION   ,4
AUSTRIA,BAHRAIN,4
AUSTRIA,CHINA,4
AUSTRIA,LEBANON,4
AUSTRIA,REPUBLIC OF MOLDOVA,4
AUSTRIA,NORWAY    ,4
AUSTRIA,THAILAND    ,4
AUSTRALIA,THAILAND    ,4
AZERBAIJAN,GEORGIA,4
BULGARIA,SWITZERLAND,4
BAHRAIN,KUWAIT,4
BAHRAIN,OMAN    ,4
BENIN,CZECH REPUBLIC,4
BENIN,MALAYSIA  ,4
BOLIVIA (PLURINATIONAL STATE OF),CHINA,4
BOLIVIA (PLURINATIONAL STATE OF),SPAIN,4
BRAZIL,AUSTRIA,4
CANADA,BULGARIA,4
CANADA,BAHRAIN,4
CANADA,BAHAMAS,4
CANADA,CUBA,4
CANADA,LEBANON,4
CANADA,PAKISTAN    ,4
CANADA,VIET NAM   ,4
"CONGO, DEMOCRATIC REPUBLIC OF THE",BELGIUM,4
ARGENTINA,AUSTRALIA,3
ARGENTINA,CZECH REPUBLIC,3
ARGENTINA,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,3
ARGENTINA,THAILAND    ,3
AUSTRIA,LIECHTENSTEIN,3
AUSTRIA,MEXICO  ,3
AUSTRIA,PERU    ,3
AUSTRIA,TURKMENISTAN    ,3
AUSTRIA,SOUTH AFRICA   ,3
BARBADOS,CANADA,3
BELGIUM,GUATEMALA,3
BELGIUM,RUSSIAN FEDERATION   ,3
BELGIUM,TURKEY    ,3
BAHRAIN,RUSSIAN FEDERATION   ,3
BAHRAIN,SAUDI ARABIA   ,3
BENIN,FRANCE,3
BOLIVIA (PLURINATIONAL STATE OF),CHILE,3
BOLIVIA (PLURINATIONAL STATE OF),GERMANY,3
BRAZIL,SPAIN,3
BAHAMAS,CANADA,3
BAHAMAS,CHINA,3
CANADA,AFGHANISTAN,3
CANADA,INDONESIA,3
CANADA,ROMANIA    ,3
"CONGO, DEMOCRATIC REPUBLIC OF THE",FRANCE,3
"CONGO, DEMOCRATIC REPUBLIC OF THE",ITALY,3
"CONGO, DEMOCRATIC REPUBLIC OF THE",TURKEY    ,3
CENTRAL AFRICAN REPUBLIC,GERMANY,3
CENTRAL AFRICAN REPUBLIC,UGANDA    ,3
ANTIGUA AND BARBUDA,CANADA,2
ARGENTINA,BELGIUM,2
ARGENTINA,FRANCE,2
ARGENTINA,PAKISTAN    ,2
AUSTRIA,ANDORRA,2
AUSTRIA,ARMENIA,2
AUSTRIA,BOSNIA AND HERZEGOVINA,2
AUSTRIA,BANGLADESH,2
AUSTRIA,BRAZIL,2
AUSTRIA,COLOMBIA,2
AUSTRIA,GEORGIA,2
AUSTRIA,KAZAKHSTAN,2
AUSTRIA,VIET NAM   ,2
AUSTRALIA,CANADA,2
ARUBA,UNITED STATES OF AMERICA ,2
AZERBAIJAN,FRANCE,2
AZERBAIJAN,OMAN    ,2
BARBADOS,THAILAND    ,2
BELGIUM,GEORGIA,2
BELGIUM,IRAQ,2
BELGIUM,REPUBLIC OF MOLDOVA,2
BELGIUM,PERU    ,2
BELGIUM,PAKISTAN    ,2
BELGIUM,TUNISIA    ,2
BELGIUM,URUGUAY    ,2
BULGARIA,UKRAINE    ,2
BAHRAIN,UNITED STATES OF AMERICA ,2
BENIN,GERMANY,2
BENIN,SPAIN,2
BENIN,OMAN    ,2
BRAZIL,BELGIUM,2
BRAZIL,CHINA,2
BRAZIL,DOMINICAN REPUBLIC,2
BRAZIL,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,2
BRAZIL,PHILIPPINES    ,2
BRAZIL,QATAR    ,2
BRAZIL,THAILAND    ,2
BAHAMAS,SWITZERLAND,2
BAHAMAS,GERMANY,2
BAHAMAS,ITALY,2
BELARUS,JORDAN,2
BELARUS,NEW ZEALAND   ,2
CANADA,ECUADOR,2
CANADA,ESTONIA,2
CANADA,ICELAND,2
CANADA,SAN MARINO   ,2
CANADA,UKRAINE    ,2
"CONGO, DEMOCRATIC REPUBLIC OF THE",SPAIN,2
"CONGO, DEMOCRATIC REPUBLIC OF THE",INDIA,2
"CONGO, DEMOCRATIC REPUBLIC OF THE",LEBANON,2
"CONGO, DEMOCRATIC REPUBLIC OF THE",MALAYSIA  ,2
"CONGO, DEMOCRATIC REPUBLIC OF THE",PAKISTAN    ,2
"CONGO, DEMOCRATIC REPUBLIC OF THE",SAUDI ARABIA   ,2
"CONGO, DEMOCRATIC REPUBLIC OF THE",VIET NAM   ,2
ANDORRA,BELGIUM,1
ANDORRA,SPAIN,1
ANDORRA,PORTUGAL    ,1
ANTIGUA AND BARBUDA,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,1
ALBANIA,ITALY,1
ALBANIA,UNITED STATES OF AMERICA ,1
ARGENTINA,BAHRAIN,1
ARGENTINA,CANADA,1
ARGENTINA,SWITZERLAND,1
ARGENTINA,COLOMBIA,1
ARGENTINA,DENMARK,1
ARGENTINA,ECUADOR,1
ARGENTINA,GREECE,1
ARGENTINA,LATVIA  ,1
ARGENTINA,NAMIBIA  ,1
ARGENTINA,NORWAY    ,1
ARGENTINA,PANAMA    ,1
ARGENTINA,POLAND    ,1
ARGENTINA,PORTUGAL    ,1
ARGENTINA,ROMANIA    ,1
ARGENTINA,SWEDEN    ,1
ARGENTINA,UKRAINE    ,1
ARGENTINA,URUGUAY    ,1
ARGENTINA,SOUTH AFRICA   ,1
AUSTRIA,ALBANIA,1
AUSTRIA,AZERBAIJAN,1
AUSTRIA,BELARUS,1
AUSTRIA,EGYPT,1
AUSTRIA,GUERNSEY,1
AUSTRIA,GREENLAND,1
AUSTRIA,GUATEMALA,1
AUSTRIA,INDONESIA,1
AUSTRIA,IRAQ,1
AUSTRIA,KUWAIT,1
AUSTRIA,CAYMAN ISLANDS,1
AUSTRIA,NEW ZEALAND   ,1
AUSTRIA,SAUDI ARABIA   ,1
AUSTRALIA,GREECE,1
AUSTRALIA,PHILIPPINES    ,1
AUSTRALIA,POLAND    ,1
AUSTRALIA,ROMANIA    ,1
AUSTRALIA,VIET NAM   ,1
ARUBA,GERMANY,1
AZERBAIJAN,GERMANY,1
AZERBAIJAN,UNITED STATES OF AMERICA ,1
BOSNIA AND HERZEGOVINA,GERMANY,1
BARBADOS,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,1
BARBADOS,SAINT KITTS AND NEVIS,1
BARBADOS,MEXICO  ,1
BANGLADESH,GERMANY,1
BANGLADESH,FRANCE,1
BANGLADESH,UNITED STATES OF AMERICA ,1
BELGIUM,AZERBAIJAN,1
BELGIUM,EQUATORIAL GUINEA,1
BELGIUM,INDIA,1
BELGIUM,"IRAN, ISLAMIC REPUBLIC OF",1
BELGIUM,KENYA,1
BELGIUM,MALAYSIA  ,1
BULGARIA,AZERBAIJAN,1
BULGARIA,GEORGIA,1
BULGARIA,ISRAEL,1
BULGARIA,KAZAKHSTAN,1
BULGARIA,RUSSIAN FEDERATION   ,1
BAHRAIN,CZECH REPUBLIC,1
BAHRAIN,FINLAND,1
BAHRAIN,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,1
BAHRAIN,LEBANON,1
BAHRAIN,SUDAN    ,1
BAHRAIN,THAILAND    ,1
BAHRAIN,SOUTH AFRICA   ,1
BURUNDI,UNITED STATES OF AMERICA ,1
BENIN,VIET NAM   ,1
BENIN,SOUTH AFRICA   ,1
BOLIVIA (PLURINATIONAL STATE OF),ARGENTINA,1
BOLIVIA (PLURINATIONAL STATE OF),THAILAND    ,1
BRAZIL,ARGENTINA,1
BRAZIL,CHILE,1
BRAZIL,GREECE,1
BRAZIL,LUXEMBOURG  ,1
BRAZIL,MACAU  ,1
BRAZIL,MALAYSIA  ,1
BRAZIL,POLAND    ,1
BAHAMAS,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,1
BELARUS,AZERBAIJAN,1
BELARUS,CHINA,1
BELARUS,KYRGYZSTAN,1
BELARUS,REPUBLIC OF MOLDOVA,1
BELARUS,THAILAND    ,1
BELIZE,DOMINICAN REPUBLIC,1
BELIZE,NETHERLANDS    ,1
CANADA,ARUBA,1
CANADA,CHILE,1
CANADA,COLOMBIA,1
CANADA,CYPRUS,1
CANADA,FIJI,1
CANADA,GEORGIA,1
CANADA,GREENLAND,1
CANADA,CROATIA,1
CANADA,INDIA,1
CANADA,JAMAICA,1
CANADA,COMOROS,1
CANADA,MALAYSIA  ,1
CANADA,SLOVENIA    ,1
CANADA,SWAZILAND    ,1
"CONGO, DEMOCRATIC REPUBLIC OF THE",INDONESIA,1
"CONGO, DEMOCRATIC REPUBLIC OF THE",KUWAIT,1
"CONGO, DEMOCRATIC REPUBLIC OF THE",PORTUGAL    ,1
